file,click,time_sec,peak_hz,centroid_hz,dur_ms,crest,sub_bass,bass,low_mid,mid,high_mid,presence
xuv10_3connector_hp_norm.wav,C1,7.353,441.4,2520.6,3.3,18.48,0,0.8,38,36.2,15.1,5.7
xuv10_3connector_hp_norm.wav,C2,9.066,430.7,2539.2,6.7,14.31,0.1,0.9,30.7,43.4,15.9,5.8
xuv10_3connector_hp_norm.wav,C3,11.945,2476.3,7749.1,60.2,10.1,0,0.3,7.1,14.4,13.5,31.1
xuv11_2connector_hp_norm.wav,C1,0.969,732.1,2441.4,3.3,16.77,0.4,1.6,31,45.6,12.9,4.5
xuv11_2connector_hp_norm.wav,C2,3.537,1001.3,2624,13.2,15.14,0,0.6,30.2,44.2,15,5.5
xuv11_2connector_hp_norm.wav,C3,5.471,2745.5,2599.4,6.3,11.7,0,0.7,31.5,45.2,14.2,4.7
xuv12_3connector_hp_norm.wav,C1,6.053,484.5,2622.3,11.1,14.46,0.4,1.2,33.1,41.5,13.7,5
xuv12_3connector_hp_norm.wav,C2,8.415,495.3,3009.2,3.3,17.79,0.1,0.6,28.4,41.1,17.2,6.1
xuv12_3connector_hp_norm.wav,C3,9.939,839.8,3673.2,3.3,13.37,0.3,1,26.5,36.3,16.3,9.3
xuv13_3connector_hp_norm.wav,C1,2.687,344.5,2538.2,2.9,19.8,0.1,0.9,31.6,42.2,16.1,5.5
xuv13_3connector_hp_norm.wav,C2,4.533,538.3,2050.3,39.5,9.42,0.3,2.7,59.7,21.5,6.2,4.3
xuv13_3connector_hp_norm.wav,C3,7.431,667.5,2857.3,14.9,10.56,0.4,1.4,33,38,11.8,9.8
xuv14_3connector_hp_norm.wav,C1,4.879,646,4331.7,54.2,7.84,0.1,0.5,29,24.1,18.9,16.3
xuv14_3connector_hp_norm.wav,C2,7.889,452.2,2301.2,97.4,5.29,0.7,3.3,57.7,20.9,7,3.8
xuv14_3connector_hp_norm.wav,C3,10.959,430.7,8448.4,7.8,14.31,0.1,0.5,9.6,15.1,8,17.4
xuv15_3connector_hp_norm.wav,C1,4.299,430.7,3110.6,4,15.44,0.2,1.1,26,38.3,20.7,8.3
xuv15_3connector_hp_norm.wav,C2,6.124,958.2,3151.1,3.8,13.48,0.2,0.7,24.1,40.3,21.2,8.3
xuv15_3connector_hp_norm.wav,C3,10.022,538.3,3146.3,5.1,16.99,0.3,1.3,25.2,36.7,22.5,9.1
xuv16_3connector_hp_norm.wav,C1,10.15,893.6,2648.2,3.4,18.15,0.1,1.5,29.7,46.8,12.3,4.5
xuv16_3connector_hp_norm.wav,C2,12.439,872.1,2054,7.6,12.34,0.2,0.9,33,49.7,11,3.3
xuv16_3connector_hp_norm.wav,C3,15.977,430.7,2120.1,15.4,12.16,0.2,0.8,30.7,51.5,10.4,3.6
xuv17_3connector_hp_norm.wav,C1,4.826,861.3,2564.1,3.8,13.86,0.2,0.9,30.5,47.5,10.2,5.4
xuv17_3connector_hp_norm.wav,C2,6.52,699.8,3210.3,3.6,14.31,0.2,0.8,24,45.4,13.9,8.4
xuv17_3connector_hp_norm.wav,C3,9.864,473.7,1683,21.2,15.33,1.5,6.2,56.8,22.1,6.8,3.7
xuv18_3connector_hp_norm.wav,C1,3.941,387.6,3596.7,7.1,14.99,0.2,1,24.6,39.9,14.9,9.1
xuv18_3connector_hp_norm.wav,C2,6.844,861.3,3510.5,4.5,13.16,0.1,0.5,28.9,38.1,14.2,7.5
xuv18_3connector_hp_norm.wav,C3,10.298,484.5,7621.5,11.8,12.34,0,0.3,8.9,15.9,7.4,30
xuv19_3connector_hp_norm.wav,C1,10.326,430.7,2196.1,7.6,15.74,0.1,1,36.1,43,12.2,4.3
xuv19_3connector_hp_norm.wav,C2,13.166,430.7,2794.6,9.1,12.72,0.1,1.1,30.6,46,10.9,4.6
xuv19_3connector_hp_norm.wav,C3,14.769,721.4,2599.2,29,9.46,0,0.6,30.3,42.1,16.6,7
xuv1_3connector_hp_norm.wav,C1,5.338,1571.9,2905.6,2.7,13.51,0,0.5,24.3,47.9,15,7.1
xuv1_3connector_hp_norm.wav,C2,6.832,2056.4,3150.1,11.8,11.88,0.3,0.9,25.1,44.8,14.5,6.3
xuv1_3connector_hp_norm.wav,C3,11.865,775.2,3397.8,13.8,9.46,0.3,1.2,25.6,38.9,16.2,8.8
xuv20_2connector_hp_norm.wav,C1,3.673,2444,6410.8,146.8,7.66,0,0.6,9.7,18.7,25.8,23.3
xuv20_2connector_hp_norm.wav,C2,5.71,387.6,3811.2,157.6,4.99,0.2,1,34.2,24.8,14.8,15.8
xuv20_2connector_hp_norm.wav,C3,9.739,495.3,2446.7,13.8,12,0,0.9,36.6,43,10.1,4.3
xuv2_3connector_hp_norm.wav,C1,1.27,538.3,2440.8,2.9,12.98,0.1,1.2,31.9,41.7,16.7,5.4
xuv2_3connector_hp_norm.wav,C2,3.431,753.7,4999,102.3,6.3,0.3,1.1,24.5,21.6,17.2,18.2
xuv2_3connector_hp_norm.wav,C3,7.546,667.5,3243.4,9.8,12.92,0.1,0.6,26.7,39.4,17.2,9.5
xuv4_3connector_hp_norm.wav,C1,1.821,904.4,2583.9,4.2,14.99,0.1,0.6,34.1,40.6,14.2,6
xuv4_3connector_hp_norm.wav,C2,3.354,807.5,2526.7,7.3,11.51,0.2,1.1,33.6,38.9,16.2,6.2
xuv4_3connector_hp_norm.wav,C3,7.92,882.9,3120.5,20.1,9.31,0.2,1.4,37.6,27.7,15.1,11.7
xuv5_3connector_hp_norm.wav,C1,2.653,893.6,2098,3.6,14.68,0.2,0.6,40,43.7,9.5,3
xuv5_3connector_hp_norm.wav,C2,4.249,3380.7,2338.9,4,15.29,0.3,1.1,24.6,47.8,20.9,3.7
xuv5_3connector_hp_norm.wav,C3,8.078,732.1,2278.5,11.4,12.95,0.5,1.4,34.2,43.3,12.8,4.6
xuv6_3connector_hp_norm.wav,C1,1.489,904.4,2639.8,20.1,9.98,0.1,0.9,39.3,36.7,12,5.3
xuv6_3connector_hp_norm.wav,C2,3.717,839.8,4329.2,5.6,13.43,0.1,0.5,21.1,32.8,14.9,17.5
xuv6_3connector_hp_norm.wav,C3,7.986,473.7,5293,22.1,10.51,0,0.5,30.8,20.5,7.5,13
xuv7_3connector_hp_norm.wav,C1,3.81,2390.2,6303.2,3.3,13.65,0.2,0.7,9.5,20.9,22.8,25.6
xuv7_3connector_hp_norm.wav,C2,6.365,495.3,2744.3,5.6,17.01,0.1,1,31.5,37.5,19.1,6.7
xuv7_3connector_hp_norm.wav,C3,11.08,678.3,3113.8,73.7,6.77,0.1,0.6,33.3,36,16.8,5.9
xuv8_3connector_hp_norm.wav,C1,3.83,678.3,2753.1,3.3,16.05,0.1,1,32.3,36.7,19.4,6.1
xuv8_3connector_hp_norm.wav,C2,5.87,753.7,2654.6,3.1,17.99,0.2,1.8,33.6,36,17.2,6.9
xuv8_3connector_hp_norm.wav,C3,8.738,333.8,3354.2,7.3,15.21,0.2,0.7,25.1,38.4,20,8.8
xuv9_3connector_hp_norm.wav,C1,4.818,667.5,2906.9,14.5,11.35,0.1,0.8,39.9,32.8,11.8,7.7
xuv9_3connector_hp_norm.wav,C2,6.82,430.7,3292.5,3.1,13.64,0.1,0.7,26.3,36.7,21.1,8.4
xuv9_3connector_hp_norm.wav,C3,10.816,463,2833.2,74,5.58,0,0.7,40.5,32.7,14.6,3.5
