file,click,time_sec,peak_hz,centroid_hz,dur_ms,crest,sub_bass,bass,low_mid,mid,high_mid,presence
xuv10_3connector.wav,C1,6.674,419.9,4900.9,36.3,8.27,0,0.9,15.4,20.7,33.4,17.4
xuv10_3connector.wav,C2,7.353,441.4,2465.4,3.3,18.28,0.1,2.2,38.2,35.1,14.7,5.6
xuv10_3connector.wav,C3,9.066,430.7,2488.3,6.5,13.73,0.2,2.6,30.9,42.1,15.4,5.6
xuv11_2connector.wav,C1,0.969,301.5,2363.4,3.3,17.18,0.5,3.3,31.6,43.9,12.4,4.4
xuv11_2connector.wav,C2,3.545,495.3,2663,13.4,14.91,0.1,2,29.6,43.8,14.2,5.5
xuv11_2connector.wav,C3,5.471,2745.5,2549.3,7.1,11.52,0,1.8,32.2,43.9,13.8,4.6
xuv12_3connector.wav,C1,6.053,484.5,2575.7,11.2,14.21,0.3,1.8,33.7,40.8,13.5,5
xuv12_3connector.wav,C2,8.415,376.8,2927.9,3.3,17.65,0.3,1.8,29,40,16.8,6
xuv12_3connector.wav,C3,9.939,839.8,3613,3.3,13.16,0.3,1.8,27.1,35.6,15.9,9.1
xuv13_3connector.wav,C1,2.687,344.5,2500.2,2.9,18.55,0.1,2,32.9,40.4,15.4,5.2
xuv13_3connector.wav,C2,7.425,667.5,3106.8,16.5,10.48,0.2,1.6,32.1,37.3,11.9,9.7
xuv13_3connector.wav,C3,9.33,430.7,4613.6,11.1,14.45,0.1,2.4,19.8,28.5,17,17.7
xuv14_3connector.wav,C1,2.402,925.9,3399.9,81.6,5.54,0.1,1.8,25.6,34.5,21.4,9.2
xuv14_3connector.wav,C2,7.881,452.2,1393.8,106.8,4.97,1.8,5.9,62.2,20.9,5.3,1.5
xuv14_3connector.wav,C3,10.891,376.8,3234.6,8.2,14.52,0.1,2.2,30.2,36.1,16,6.4
xuv15_3connector.wav,C1,4.299,430.7,3035,4,15.11,0.2,2.1,27.2,37.1,20,8
xuv15_3connector.wav,C2,6.13,958.2,3025.4,4.5,13.45,0.2,1.3,25.2,39.6,20.9,8.1
xuv15_3connector.wav,C3,10.029,527.6,3367.7,5.1,16.81,0.2,1.8,25.5,35,22,9.2
xuv16_3connector.wav,C1,10.15,893.6,2483.2,3.4,17.75,0.1,4.9,29.7,44.8,11.7,4.2
xuv16_3connector.wav,C2,12.439,872.1,2029.7,8,12.13,0.2,2,33.5,48.4,10.7,3.3
xuv16_3connector.wav,C3,14.323,430.7,2471.1,30.5,10.14,0.2,2.9,26.9,48.9,12.1,5.3
xuv17_3connector.wav,C1,4.826,430.7,2518.2,3.8,13.67,0.3,2,30.9,46.3,9.9,5.3
xuv17_3connector.wav,C2,6.527,1184.3,3294,3.8,14.13,0,1.4,24.9,44.5,13,7.9
xuv17_3connector.wav,C3,9.935,344.5,7789,8,19.14,0,1.2,8.7,10.7,12.5,32.3
xuv18_3connector.wav,C1,3.686,570.6,3657.1,6,13.63,0,1.4,25.1,38.4,14.8,10
xuv18_3connector.wav,C2,6.852,861.3,3246.6,4.5,13.07,0.1,1.5,30.1,38,13.9,7
xuv18_3connector.wav,C3,10.307,484.5,7551,11.6,12.29,0,1,9,15.4,7.4,30
xuv19_3connector.wav,C1,10.336,430.7,2225.4,8,15.36,0.1,2.4,36.7,41.6,11.4,4.2
xuv19_3connector.wav,C2,13.176,430.7,1875.1,9.6,11.99,1,4.8,34.3,44.9,9.7,3.1
xuv19_3connector.wav,C3,16.432,1259.7,3101.8,27,12.74,0.4,2.7,24.7,44,9.8,11.3
xuv1_3connector.wav,C1,5.267,969,2580.4,2.9,12.4,0.2,2,28.3,47.3,10.7,7.3
xuv1_3connector.wav,C2,6.832,2056.4,3093.8,12.9,11.52,0.2,1.8,25.9,43.8,14.1,6.1
xuv1_3connector.wav,C3,8.429,366.1,2963.7,12.9,10.57,0.1,2,31.4,37.5,15.9,6.6
