file,click,time_sec,peak_hz,centroid_hz,dur_ms,crest,sub_bass,bass,low_mid,mid,high_mid,presence
Thar11_2connector.wav,C1,1.825,387.6,5683.4,10.7,10.18,0,1.7,16.3,18.5,18.8,27.3
Thar11_2connector.wav,C2,5.985,506,6672.2,6,12.94,0,0.7,15.3,14.8,22.2,20
thar10_2connector.wav,C1,1.8,807.5,5573.6,36.3,9.54,0.1,1.7,18.7,25.4,15,16.1
thar10_2connector.wav,C2,5.156,398.4,6123.6,22.3,8.74,0,1.4,22.3,14.6,16.5,20.7
thar12_2connector.wav,C1,3.745,915.2,5117,28.5,9.07,0.1,0.9,23.7,19.3,13.4,25.5
thar12_2connector.wav,C2,7.015,430.7,5612.5,5.8,11.48,0,0.7,14.8,16,30.9,19.1
thar13_2connectors.wav,C1,6.225,387.6,5893,6.2,10.72,0.2,1.4,15.7,15.5,27.6,20.2
thar13_2connectors.wav,C2,8.386,2584,4877.7,10.9,11.34,0,2,18.8,21.7,27.5,15.1
thar14_2connector.wav,C1,2.145,495.3,5860.3,13.8,12.16,0.1,1.8,16.5,18.9,18.9,20.2
thar14_2connector.wav,C2,4.605,430.7,6244.7,2.7,14.43,0,0.4,12.1,15.6,25.3,25.3
thar15_2connector.wav,C1,4.11,1195.1,4952.2,6,9.71,0,0.5,15.7,23.6,31.2,14.5
thar15_2connector.wav,C2,7.3,1485.8,5446.5,4.5,14.17,0.1,0.7,13.7,32.2,16,16.3
thar16_2connector.wav,C1,7.52,506,5290.1,8.9,13.28,0.1,1.2,17.1,18.5,28.5,17.6
thar16_2connector.wav,C2,9.841,484.5,5894.9,10.9,12.12,0,1.4,12.8,16.5,31.6,15.1
thar17_2connectors.wav,C1,3.015,452.2,5868,14.5,10.21,0.1,0.8,13.4,17.5,28.8,17.9
thar17_2connectors.wav,C2,6.776,549.1,5405.1,8.3,11.88,0,0.8,14.8,15.4,35.6,19
thar18_2connectors.wav,C1,5.275,506,4957.6,8.9,10.96,0.1,0.7,17.9,19.9,28.3,20.7
thar18_2connectors.wav,C2,7.375,430.7,5776.8,11.2,11.56,0,1.3,16.2,15.4,28.9,18.6
thar19_2connector.wav,C1,2.925,506,7073.9,3.4,14.55,0.1,0.5,7.6,14.1,24.1,26.4
thar19_2connector.wav,C2,5.875,473.7,4655.2,15.4,9.9,0,1.1,20,20.3,29.1,16.9
thar20_2connector.wav,C1,3.105,409.1,5209.6,6.2,9.96,0,1.1,14.5,16.9,39.9,13.2
thar20_2connector.wav,C2,6.045,430.7,5825,3.3,11.04,0.3,2.1,15.4,14.2,33.3,13.2
thar21_2connectors.wav,C1,4.785,452.2,5802.1,6.2,12.6,0.1,1.1,14.3,13.3,34.3,16.3
thar21_2connectors.wav,C2,7.243,516.8,5568.2,7.4,11.94,0.1,1.3,13.8,18.5,35.2,11.5
thar22_2connector.wav,C1,3.565,398.4,4940.9,5.4,11.06,0.1,2.4,13.8,16.5,35.6,19.8
thar22_2connector.wav,C2,5.435,1765.7,4888,31,9.86,0.1,0.8,19.9,24.1,27.7,11.7
thar23_2connector.wav,C1,4.675,699.8,4400,41.5,7.83,0,0.8,20.4,27.1,29.6,8.6
thar23_2connector.wav,C2,6.775,463,6292.3,14.7,10.16,0.1,2.1,16.1,17.6,12.6,28
thar24_2connector.wav,C1,4.576,387.6,6148.5,5.4,13,0,1.5,12.2,12.8,35.9,15.7
thar24_2connector.wav,C2,7.635,979.8,4967,7.6,11.01,0.1,0.9,14.9,19.2,33.6,18.1
thar25_2connector.wav,C1,3.475,495.3,5355.9,11.6,9.66,0.1,2.3,15,20,33.7,9.6
thar25_2connector.wav,C2,6.225,549.1,5904.8,5.4,14.08,0.1,1.2,8.9,21.5,26.8,24.7
thar28_2connectors.wav,C1,3.426,559.9,5414.4,21.6,9.72,0.1,0.9,20.1,19.2,23.4,15.4
thar28_2connectors.wav,C2,9.904,506,5223.4,7.1,11.79,0,0.6,15.7,18.1,39.4,9.4
thar29_2connectors.wav,C1,8.505,516.8,5442.1,2.5,15.12,0.1,1.4,14.3,16.3,32.5,17.8
thar29_2connectors.wav,C2,17.313,2411.7,2822.6,5.8,14.83,0.2,1.6,29.3,40.6,16.2,7.4
thar2_2connector.wav,C1,5.975,678.3,4835.8,29.2,9.76,0,0.9,20.6,18.6,31.7,14.7
thar2_2connector.wav,C2,9.335,484.5,6126.5,19,9.67,0.4,1.4,18.8,14.3,23,19.6
thar30_2connectors.wav,C1,1.155,398.4,5431.4,7.1,11.55,0.1,1.1,15.2,16.9,28,23.7
thar30_2connectors.wav,C2,4.645,581.4,5476.7,11.8,10.87,0,0.7,16,20.2,26.6,20.7
thar31_2connectors.wav,C1,1.825,667.5,5681.8,8.5,11.09,0,0.9,14.1,17.1,28.6,21.8
thar31_2connectors.wav,C2,6.113,495.3,5664.1,9.6,10.79,0,1,16.8,15.8,29.5,15.8
thar32_2connectors.wav,C1,4.585,495.3,5536,2.9,12.41,0.2,1.3,14.5,15.6,35.2,17.9
thar32_2connectors.wav,C2,6.876,452.2,5327.3,7.8,11.21,0.1,1.6,16.9,19.7,27.4,16.9
thar33_2connectors.wav,C1,4.516,624.5,5186,15.6,9.96,0.1,1.4,19.6,16.4,30,13.6
thar33_2connectors.wav,C2,7.985,473.7,6042.6,4,11.3,0,0.9,13.6,12.7,35.3,18.3
thar34_2connectors.wav,C1,2.583,473.7,5241.7,24.1,7.56,0,2.1,21.7,18.3,27,11.1
thar34_2connectors.wav,C2,5.607,581.4,5703.5,6.9,9.38,0,0.8,14.2,15.4,33.8,17
thar36_2connectors.wav,C1,7.67,1216.6,6388.7,9.6,12.76,0.1,0.9,12.8,20.3,17.6,20.1
thar36_2connectors.wav,C2,11.114,409.1,2375.3,7.4,12.9,0.1,2.6,35.8,34.6,20.5,4.1
thar37_2connectors.wav,C1,3.01,2401,5189.4,27.4,7.85,0.1,0.5,12.2,29.9,28.3,12.7
thar37_2connectors.wav,C2,12.62,484.5,5414.1,8.2,10.99,0.1,0.8,13.9,19,35.6,12.5
thar38_2connector.wav,C1,4.364,925.9,3543.9,47.5,5.28,0.3,1.9,36,22.4,21.9,8
thar38_2connector.wav,C2,6.917,1184.3,3504.4,59.7,3.93,0.3,2.4,27.8,31.8,19.5,7.8
thar40_2connectors.wav,C1,4.396,1582.7,6289.4,10.7,12.18,0.1,1.1,10.9,18.9,24.8,20.1
thar40_2connectors.wav,C2,6.965,732.1,5204.4,24.3,8.84,0.1,0.6,23.4,20.8,22.1,9.5
thar41_2connector.wav,C1,5.375,484.5,5524,15.2,9.18,0.1,0.9,15.9,23.1,22.8,14.6
thar41_2connector.wav,C2,7.335,409.1,5779.7,9.3,11,0,0.7,12.5,20.2,28.5,16.3
thar42_2connectors.wav,C1,5.535,6266.2,5695.1,13.8,9.62,0.2,1.1,13.1,17.7,26.7,26.1
thar42_2connectors.wav,C2,8.396,398.4,6694.8,20,8.69,0.1,1.2,17.9,21.3,12.4,13.5
thar43_2connectors.wav,C1,8.701,473.7,5371.8,6.2,11.05,0.1,1.3,13.7,16,30.5,24.4
thar43_2connectors.wav,C2,12.076,495.3,5363.4,7.1,10.42,0,0.9,16.3,21.3,29.7,11.9
thar4_2connector.wav,C1,3.405,602.9,5311.6,53.2,8.5,0.1,1.3,22.6,19.4,20.6,16.2
thar4_2connector.wav,C2,5.805,506,4973.7,7.1,12.45,0.1,1.4,17.8,18.2,34.5,13.6
thar5_2connector.wav,C1,2.484,344.5,5608.5,8.3,13.94,0.1,1.6,16.2,13.8,30.1,20.8
thar5_2connector.wav,C2,6.635,366.1,4947.3,9.1,12.65,0.3,1.8,20.5,17.9,34.5,8.9
thar6_2connector.wav,C1,6.475,732.1,5871.1,8.3,11.3,0.2,1.1,18.2,14.4,28,18
thar6_2connector.wav,C2,9.465,1270.5,5151.2,15.8,11.06,0.1,1.2,17,22.4,26.8,15.2
thar7_2connector.wav,C1,3.875,441.4,6342.5,5.3,12.63,0,0.7,14,13.7,28.6,18.1
thar7_2connector.wav,C2,6.656,441.4,6084.7,17.2,8.62,0.1,1.3,18.7,16.2,17.6,23.8
thar8_2connector.wav,C1,4.35,516.8,4883.5,25.4,10.84,0,1.2,23.8,21.9,17.3,25.2
thar8_2connector.wav,C2,5.7,850.6,5212.9,43.5,6.27,0.1,0.8,19.2,25.7,21.2,12.9
thar9_2connector.wav,C1,3.945,506,5623.5,8.3,12.06,0.1,1.2,16.9,16.3,28.6,14.3
thar9_2connector.wav,C2,5.882,624.5,4990.2,20.1,8.13,0,1.3,16.4,22.7,26,21.3
thar_2connectors44.wav,C1,1.545,979.8,5468.6,3.3,12.39,0.2,0.9,17.5,17.4,21.8,27.5
thar_2connectors44.wav,C2,3.185,495.3,5654.1,4.9,10.84,0,0.7,15.5,19.8,26.1,17.4
thar_2connectors45.wav,C1,13.565,527.6,4937.8,6.3,11.51,0.3,2.1,18.4,18.5,35.6,8.4
thar_2connectors45.wav,C2,17.409,581.4,5147.8,7.6,15.03,0.1,0.8,15.6,18.2,31.8,19.4
thar_2connectors46.wav,C1,4.276,506,5719.5,6.5,16.23,0,1.1,13.1,17.8,30.5,19.9
thar_2connectors46.wav,C2,11.005,850.6,6336.7,4.4,11.76,0,0.8,9.6,13,27.6,31.4
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
